,CIRCUITO,NOMBRE CIRCUITO,PARTIDO,CANTIDAD DE VOTOS,CANTIDAD DE VOTOS POR CIRCUITO,PORCENTAJE DE VOTOS DEL CIRCUITO,CIRCUITO_NUEVO
132,9E,PROVIDENCIA,UNIÓN CÍVICA RADICAL,297,3340,0.08892215569,009E
133,9E,PROVIDENCIA,HACEMOS POR CORDOBA,1383,3340,0.4140718563,009E
134,9E,PROVIDENCIA,CORDOBA CAMBIA,954,3340,0.2856287425,009E
135,9F,SAN MARTIN,UNIÓN CÍVICA RADICAL,1013,9984,0.1014623397,009F
136,9F,SAN MARTIN,HACEMOS POR CORDOBA,4433,9984,0.4440104167,009F
137,9F,SAN MARTIN,CORDOBA CAMBIA,2585,9984,0.2589142628,009F
138,9G,VILLA CABRERA,UNIÓN CÍVICA RADICAL,318,4015,0.07920298879,009G
139,9G,VILLA CABRERA,HACEMOS POR CORDOBA,1579,4015,0.3932752179,009G
140,9G,VILLA CABRERA,CORDOBA CAMBIA,1255,4015,0.3125778331,009G
141,10,BELLA VISTA,UNIÓN CÍVICA RADICAL,1046,11405,0.09171416046,0010
142,10,BELLA VISTA,HACEMOS POR CORDOBA,5922,11405,0.5192459448,0010
143,10,BELLA VISTA,CORDOBA CAMBIA,2308,11405,0.2023673827,0010
144,10A,CABILDO,UNIÓN CÍVICA RADICAL,352,3693,0.09531546168,010A
145,10A,CABILDO,HACEMOS POR CORDOBA,2272,3693,0.61521798,010A
146,10A,CABILDO,CORDOBA CAMBIA,548,3693,0.1483888438,010A
147,10B,CIUDADELA,UNIÓN CÍVICA RADICAL,863,8590,0.1004656577,010B
148,10B,CIUDADELA,HACEMOS POR CORDOBA,3638,8590,0.4235157159,010B
149,10B,CIUDADELA,CORDOBA CAMBIA,2221,8590,0.258556461,010B
150,10C,COMERCIAL,UNIÓN CÍVICA RADICAL,431,4690,0.09189765458,010C
151,10C,COMERCIAL,HACEMOS POR CORDOBA,3155,4690,0.6727078891,010C
152,10C,COMERCIAL,CORDOBA CAMBIA,548,4690,0.1168443497,010C
153,10D,CONGRESO,UNIÓN CÍVICA RADICAL,391,2518,0.1552819698,010D
154,10D,CONGRESO,HACEMOS POR CORDOBA,1471,2518,0.5841938046,010D
155,10D,CONGRESO,CORDOBA CAMBIA,321,2518,0.1274821287,010D
156,10E,ESTACION FLORES,UNIÓN CÍVICA RADICAL,850,8796,0.09663483402,010E
157,10E,ESTACION FLORES,HACEMOS POR CORDOBA,5396,8796,0.6134606639,010E
158,10E,ESTACION FLORES,CORDOBA CAMBIA,1237,8796,0.1406321055,010E
159,10F,MATIENZO,UNIÓN CÍVICA RADICAL,788,9215,0.08551275095,010F
160,10F,MATIENZO,HACEMOS POR CORDOBA,4690,9215,0.5089527944,010F
161,10F,MATIENZO,CORDOBA CAMBIA,1864,9215,0.2022788931,010F
162,10G,OBSERVATORIO,UNIÓN CÍVICA RADICAL,1264,13453,0.09395673827,010G
163,10G,OBSERVATORIO,HACEMOS POR CORDOBA,5967,13453,0.4435441909,010G
164,10G,OBSERVATORIO,CORDOBA CAMBIA,3075,13453,0.2285735524,010G
165,10H,PARQUE CAPITAL,UNIÓN CÍVICA RADICAL,809,8984,0.09004897596,010H
166,10H,PARQUE CAPITAL,HACEMOS POR CORDOBA,3966,8984,0.4414514693,010H
167,10H,PARQUE CAPITAL,CORDOBA CAMBIA,694,8984,0.07724844167,010H
168,10I,PARQUE HORIZONTE,UNIÓN CÍVICA RADICAL,699,7905,0.08842504744,010I
169,10I,PARQUE HORIZONTE,HACEMOS POR CORDOBA,3808,7905,0.4817204301,010I
170,10I,PARQUE HORIZONTE,CORDOBA CAMBIA,1751,7905,0.2215053763,010I
