"","...1","titulo","eleccion","circuito","candidato","N°","agrupacion","votos","vot valido","vot nulo","total votantes","electores en padron","codigo_circuito","codigo_circuito1"
"76",268,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 390   - MONTE LE<U+FFFD>A","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","1","342","11","368","567","  390","  390"
"77",269,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 390   - MONTE LE<U+FFFD>A","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","26","342","11","368","567","  390","  390"
"78",270,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 390   - MONTE LE<U+FFFD>A","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","5","342","11","368","567","  390","  390"
"79",271,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 390   - MONTE LE<U+FFFD>A","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","2","342","11","368","567","  390","  390"
"80",272,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 390   - MONTE LE<U+FFFD>A","Gobernador y Vicegobernador","A601","HACEMOS POR CORDOBA","206","342","11","368","567","  390","  390"
"81",273,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 390   - MONTE LE<U+FFFD>A","Gobernador y Vicegobernador","P57","MOVIMIENTO DE ACCI<U+FFFD>N VECINAL","2","342","11","368","567","  390","  390"
"82",274,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 390   - MONTE LE<U+FFFD>A","Gobernador y Vicegobernador","P191","VECINALISMO INDEPENDIENTE","0","342","11","368","567","  390","  390"
"83",275,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 390   - MONTE LE<U+FFFD>A","Gobernador y Vicegobernador","P200","PARTIDO UNION CIUDADANA","1","342","11","368","567","  390","  390"
"84",276,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 390   - MONTE LE<U+FFFD>A","Gobernador y Vicegobernador","A300","MST - NUEVA IZQUIERDA","1","342","11","368","567","  390","  390"
"85",403,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5E    - VILLA BUSTOS","Gobernador y Vicegobernador","P22","PARTIDO HUMANISTA","49","2.707","102","2.980","4.057","   5E","   5E"
"86",404,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5E    - VILLA BUSTOS","Gobernador y Vicegobernador","A500","CORDOBA CAMBIA","325","2.707","102","2.980","4.057","   5E","   5E"
"87",405,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5E    - VILLA BUSTOS","Gobernador y Vicegobernador","P217","ENCUENTRO VECINAL C<U+FFFD>RDOBA","120","2.707","102","2.980","4.057","   5E","   5E"
"88",406,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5E    - VILLA BUSTOS","Gobernador y Vicegobernador","20","UNI<U+FFFD>N DEL CENTRO DEMOCR<U+FFFD>TICO (U.CE.DE.)","9","2.707","102","2.980","4.057","   5E","   5E"
"89",407,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5E    - VILLA BUSTOS","Gobernador y Vicegobernador","3","UNI<U+FFFD>N C<U+FFFD>VICA RADICAL","254","2.707","102","2.980","4.057","   5E","   5E"
"90",408,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5E    - VILLA BUSTOS","Gobernador y Vicegobernador","A830","FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","44","2.707","102","2.980","4.057","   5E","   5E"
"91",409,"TRIBUNAL ELECTORAL PROVINCIAL AD HOC","Elecciones Provinciales 12 de Mayo de 2019","Circuito 5E    - VILLA BUSTOS","Gobernador y Vicegobernador","P238","MOVIMIENTO AVANZADA SOCIALISTA","16","2.707","102","2.980","4.057","   5E","   5E"
